VOTED,SEX,RACE,EDUC,EMPSTAT,NATIVITY,REGION,METRO,MARST,DIFFMOB,AGE,NCHILD,INCOME_PER_PERSON
voted,female,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,68,2,21875.0
voted,male,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,68,2,21875.0
voted,female,others,college_grad,employed,foreign_born,south,metropolitan,no_spouse,no_mobility_limitation,23,0,21875.0
not_voted,male,others,college_grad,employed,foreign_born,south,metropolitan,no_spouse,no_mobility_limitation,23,0,21875.0
not_voted,female,white,hs_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,33,0,27500.0
voted,male,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,38,0,27500.0
not_voted,male,white,hs_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,33,1,27500.0
voted,male,white,hs_grad,retired,native_born,south,not_metropolitan,no_spouse,no_mobility_limitation,78,0,22500.0
voted,male,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,63,0,27500.0
voted,female,white,hs_grad,retired,native_born,south,metropolitan,has_spouse,no_mobility_limitation,68,0,27500.0
voted,female,white,master_higher,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,1,75000.0
voted,male,white,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,0,125000.0
voted,female,black,hs_grad,retired,native_born,south,metropolitan,no_spouse,no_mobility_limitation,68,1,13750.0
voted,male,black,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,43,0,13750.0
not_voted,female,white,college_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,33,3,17500.0
not_voted,male,white,hs_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,48,3,17500.0
voted,female,white,college_grad,employed,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,68,0,43750.0
voted,male,others,hs_grad,retired,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,73,0,43750.0
not_voted,male,white,college_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,33,0,87500.0
not_voted,male,white,college_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,48,0,150000.0
not_voted,male,white,hs_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,33,2,21875.0
not_voted,female,white,hs_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,33,2,21875.0
voted,female,white,master_higher,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,23,0,43750.0
voted,male,white,hs_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,68,0,67500.0
voted,male,black,hs_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,53,0,87500.0
voted,female,white,master_higher,retired,native_born,northeast,metropolitan,has_spouse,mobility_limitation,73,0,75000.0
voted,male,white,hs_grad,retired,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,73,0,75000.0
not_voted,male,white,college_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,53,0,17500.0
not_voted,female,white,college_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,63,0,43750.0
not_voted,male,white,hs_grad,retired,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,68,0,43750.0
not_voted,male,white,hs_grad,not_in_labor_force,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,58,0,17500.0
voted,male,white,college_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,33,0,33750.0
voted,male,white,master_higher,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,53,0,75000.0
voted,female,white,master_higher,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,53,0,75000.0
voted,female,white,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,53,3,25000.0
voted,male,white,college_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,48,3,25000.0
voted,female,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,19,0,25000.0
voted,female,white,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,19,0,25000.0
voted,female,black,master_higher,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,53,0,67500.0
voted,female,white,college_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,48,1,30000.0
voted,male,asian,master_higher,employed,foreign_born,south,metropolitan,no_spouse,no_mobility_limitation,48,1,30000.0
voted,female,black,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,63,1,11000.0
voted,female,black,hs_grad,employed,native_born,south,metropolitan,no_spouse,no_mobility_limitation,43,3,11000.0
voted,male,black,college_grad,not_in_labor_force,native_born,south,metropolitan,no_spouse,no_mobility_limitation,19,0,11000.0
voted,male,white,college_grad,employed,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,58,1,41666.666666666664
voted,female,white,college_grad,employed,native_born,south,not_metropolitan,has_spouse,no_mobility_limitation,53,1,41666.666666666664
voted,male,white,hs_grad,employed,native_born,south,not_metropolitan,no_spouse,no_mobility_limitation,23,0,41666.666666666664
voted,female,black,hs_grad,employed,native_born,south,metropolitan,has_spouse,no_mobility_limitation,53,1,17857.14285714286
not_voted,male,black,hs_grad,employed,foreign_born,south,metropolitan,has_spouse,no_mobility_limitation,58,1,17857.14285714286
not_voted,female,black,hs_grad,not_in_labor_force,native_born,south,metropolitan,has_spouse,no_mobility_limitation,33,3,17857.14285714286
voted,male,black,college_grad,retired,native_born,south,metropolitan,no_spouse,no_mobility_limitation,78,0,37500.0
not_voted,male,white,college_grad,not_in_labor_force,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,48,0,17500.0
voted,male,asian,college_grad,retired,foreign_born,northeast,metropolitan,has_spouse,no_mobility_limitation,78,1,29166.666666666668
voted,female,white,master_higher,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,68,1,29166.666666666668
voted,female,others,master_higher,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,38,0,29166.666666666668
not_voted,male,white,hs_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,53,0,43750.0
not_voted,female,white,hs_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,33,0,43750.0
not_voted,male,white,hs_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,28,0,11250.0
voted,female,white,college_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,53,2,11250.0
voted,male,white,hs_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,53,2,11250.0
not_voted,male,white,college_grad,not_in_labor_force,native_born,northeast,metropolitan,no_spouse,mobility_limitation,23,0,11250.0
voted,male,asian,college_grad,unemployed,foreign_born,northeast,not_metropolitan,has_spouse,no_mobility_limitation,58,1,41666.666666666664
voted,female,asian,college_grad,employed,foreign_born,northeast,not_metropolitan,has_spouse,no_mobility_limitation,48,1,41666.666666666664
voted,male,asian,college_grad,employed,foreign_born,northeast,not_metropolitan,no_spouse,no_mobility_limitation,28,0,41666.666666666664
voted,female,white,master_higher,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,73,0,67500.0
not_voted,female,white,hs_grad,employed,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,58,0,62500.0
not_voted,male,white,hs_grad,not_in_labor_force,native_born,northeast,metropolitan,has_spouse,no_mobility_limitation,58,0,62500.0
voted,male,others,hs_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,23,0,62500.0
voted,female,white,hs_grad,employed,native_born,northeast,metropolitan,no_spouse,no_mobility_limitation,23,0,62500.0
voted,male,white,college_grad,retired,native_born,northeast,not_metropolitan,no_spouse,no_mobility_limitation,78,0,55000.0
voted,female,white,master_higher,employed,native_born,west,metropolitan,has_spouse,no_mobility_limitation,43,1,50000.0
voted,male,white,hs_grad,employed,native_born,west,metropolitan,has_spouse,no_mobility_limitation,43,1,50000.0
voted,female,asian,college_grad,retired,foreign_born,west,metropolitan,has_spouse,no_mobility_limitation,73,1,50000.0
voted,male,asian,college_grad,retired,foreign_born,west,metropolitan,has_spouse,no_mobility_limitation,78,1,50000.0
voted,female,asian,college_grad,employed,foreign_born,west,metropolitan,no_spouse,no_mobility_limitation,48,0,50000.0
voted,male,white,hs_grad,employed,native_born,west,metropolitan,has_spouse,no_mobility_limitation,43,2,37500.0
voted,female,white,college_grad,not_in_labor_force,native_born,west,metropolitan,has_spouse,no_mobility_limitation,43,2,37500.0
voted,male,white,college_grad,retired,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,68,0,5625.0
voted,female,white,hs_grad,retired,native_born,west,not_metropolitan,has_spouse,no_mobility_limitation,68,0,5625.0
voted,male,white,master_higher,employed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,53,0,67500.0
voted,female,white,hs_grad,not_in_labor_force,native_born,west,metropolitan,no_spouse,mobility_limitation,33,0,67500.0
voted,female,white,hs_grad,employed,native_born,west,metropolitan,no_spouse,no_mobility_limitation,33,0,67500.0
voted,female,white,master_higher,retired,foreign_born,west,not_metropolitan,has_spouse,no_mobility_limitation,83,0,62500.0
